IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt9586294	4/28/2021	Better Days	n	Hulu	NA	Good +	8.5
tt10360862	4/29/2021	The Man Who Sold His Skin	n	Netflix	NA	Good +	8.5
tt2948372	4/30/2021	Soul	n	Disney +	NA	Good	8
tt7146812	5/1/2021	Onward	n	Disney +	NA	Good +	8.5
tt10706602	5/2/2021	Colectiv	n	Netflix	NA	Good	8
tt8633462	5/2/2021	"Quo Veras, Aida"	n	Netflix	NA	Good +	8.5
tt6772802	5/3/2021	Hillbilly Elegy	n	Netflix	NA	Decent +	6
tt6571548	5/4/2021	The White Tiger	n	Netflix	NA	Good	8
tt0121766	5/4/2021	Star Wars Ep 3	y	Disney +	NA	Great	10
tt7761590	5/5/2021	Retablo	n	Netflix	NA	Decent +	6
tt7946422	5/6/2021	Prospect	n	Netflix	NA	Good -	7.5
tt0362227	5/7/2021	Terminal	n	Hulu	NA	Good	8
tt6723592	5/8/2021	Tenet	n	HBO Max	NA	Great	10
tt0120812	5/9/2021	Rush Hour	n	HBO Max	NA	Good -	7.5
tt0128853	5/10/2021	You've Got Mail	n	Hulu	NA	Good -	7.5
tt1034314	5/11/2021	Iron Sky	n	Netflix	NA	Good +	8.5
tt3038708	5/12/2021	Iron Sky: The Coming Race	n	Netflix	NA	Decent	5
tt1727776	5/13/2021	Scouts Guide to the Zombie Apocalypse	n	Tubi	NA	Good -	7.5
tt0362270	5/14/2021	Life Aquatic	n	Stream	NA	Good +	8.5
tt1074638	5/15/2021	Skyfall	n	Hulu	NA	Good +	8.5
tt4276820	5/16/2021	The Founder	n	Netflix	NA	Good +	8.5
tt5539052	5/16/2021	The Polka King	n	Netflix	NA	Good +	8.5
tt3797512	5/17/2021	Barb and Star Go to Vista del Mar	n	Stream	NA	Good +	8.5
tt12441478	5/18/2021	Earwig and the Witch	n	HBO Max	NA	Good +	8.5
tt4925292	5/19/2021	Lady Bird	n	Netflix	NA	Great	10
tt7149336	5/20/2021	The Unicorn	n	Hulu	NA	Decent +	6
tt13472984	5/21/2021	Two Distant Strangers	n	Netflix	NA	Good	8
tt0993840	5/22/2021	Army of the Dead	n	Netflix	NA	Good +	8.5
tt6386748	5/23/2021	Birds of Passage	n	Netflix	NA	Good	8
tt0293429	5/23/2021	Mortal Kombat	n	HBO Max	NA	Decent +	6
tt0420223	5/24/2021	Stranger than Fiction	n	Netflix	NA	Good	8
tt8784956	5/25/2021	Ava	n	Netflix	NA	Decent	5
tt10620868	5/26/2021	#Alive	n	Netflix	NA	Good	8
tt2132285	5/27/2021	The Bling Ring	n	Netflix	NA	Good	8
tt8695030	5/28/2021	The Dead Don't Die	n	HBO Max	NA	great	10
tt1320253	5/29/2021	The Expendables	n	Hulu	NA	Good	8
tt0105236	5/30/2021	resevoir dogs	n	Amazon Prime	NA	good	8
tt0093773	5/31/2021	predator	n	Hulu	NA	Good	8
tt7394816	6/1/2021	Primal	n	Hulu	NA	Decent	5
tt1374989	6/2/2021	Pride and Prejudice and Zombies	n	Amazon Prime	NA	Decent	5
tt1298644	6/3/2021	The Hustle	n	Hulu	NA	Decent	5
